county,zip code,city
Jasper,64836,Kendricktown
Jasper,64836,Scotland
Jasper,64836,Brooklyn Heights
Jasper,64836,Morgan Heights
Jasper,64836,Fidelity
Jasper,64836,Carthage
Jasper,64836,Carytown
Jasper,64835,Carterville
Jasper,64834,Carl Junction
Jasper,64834,Stringtown
Jasper,64834,Smithfield
Jasper,64833,Avilla
Barton,64832,Asbury
McDonald,64831,Anderson
Jasper,64830,Alba
Jasper,64804,Joplin
Jasper,64803,Joplin
Jasper,64802,Joplin
Jasper,64801,Lakeside
Jasper,64801,Belle Center
Jasper,64801,Grand Falls
Jasper,64801,Duquesne
Jasper,64801,Joplin
Jasper,64801,Central City
Jasper,64801,Prosperity
Jasper,64801,Redings Mill
Jasper,64801,Stones Corner
Jasper,64801,Iron Gates
Vernon,64790,Walker
Saint Clair,64789,Vista
Henry,64788,Urich
Henry,64788,Hartwell
Vernon,64784,Sheldon
Vernon,64783,Schell City
Saint Clair,64781,Roscoe
Bates,64780,Prairie City
Bates,64780,Taberville
Bates,64780,Rockville
Bates,64779,Rich Hill
Vernon,64778,Richards
Bates,64777,Passaic
Saint Clair,64776,Damascus
Saint Clair,64776,Osceola
Vernon,64772,Camp Clark
Vernon,64772,Nevada
Vernon,64771,Moundville
Henry,64770,Montrose
Barton,64769,Mindenmines
Vernon,64767,Milo
Barton,64766,Milford
Vernon,64765,Metz
Saint Clair,64763,Lowry City
Barton,64762,Liberal
Johnson,64761,Leeton
Barton,64759,Lamar
Barton,64759,Iantha
Barton,64759,Irwin
Cedar,64756,Jerico Springs
Jasper,64755,Jasper
Bates,64752,Hume
Bates,64752,Stotesbury
Vernon,64751,Horton
Vernon,64750,Harwood
Barton,64748,Golden City
Cass,64747,Garden City
Cass,64747,Gunn City
Cass,64747,Latour
Cass,64746,Lake Annette
Cass,64746,Freeman
Bates,64745,Foster
Cedar,64744,El Dorado Springs
Cass,64743,East Lynne
Bates,64742,Drexel
Vernon,64741,Deerfield
Henry,64740,Deepwater
Henry,64739,Creighton
Saint Clair,64738,Collins
Henry,64735,Clinton
Henry,64735,Tightwad
Cass,64734,West Line
Cass,64734,Cleveland
Johnson,64733,Chilhowee
Bates,64730,Butler
Vernon,64728,Bronaugh
Henry,64726,Blairstown
Cass,64725,Austin
Cass,64725,Archie
Saint Clair,64724,Appleton City
Bates,64723,Amsterdam
Bates,64722,Amoret
Bates,64720,Adrian
Cass,64701,Harrisonville
Daviess,64689,Winston
Livingston,64688,Wheeling
Carroll,64687,Wakenda
Livingston,64686,Utica
Grundy,64683,Trenton
Carroll,64682,Tina
Chariton,64681,Sumner
Carroll,64680,Stet
Grundy,64679,Spickard
Chariton,64676,Rothville
Linn,64674,Purdin
Mercer,64673,Princeton
Putnam,64672,Powersville
Caldwell,64671,Polo
Caldwell,64671,Mirabile
Daviess,64670,Pattonsburg
Carroll,64668,Norborne
Sullivan,64667,Newtown
Livingston,64664,Mooresville
Mercer,64661,Mercer
Chariton,64660,Mendon
Linn,64659,Meadville
Linn,64658,Marceline
Gentry,64657,McFall
Gentry,64657,Mc Fall
Livingston,64656,Ludlow
Putnam,64655,Lucerne
Daviess,64654,Lock Springs
Linn,64653,Linneus
Grundy,64652,Laredo
Linn,64651,Laclede
Caldwell,64650,Kingston
Caldwell,64649,Kidder
Daviess,64648,Jamesport
Daviess,64647,Jameson
Sullivan,64646,Humphreys
Sullivan,64645,Harris
Caldwell,64644,Hamilton
Carroll,64643,Hale
Harrison,64642,Brimson
Harrison,64642,Gilman City
Grundy,64641,Galt
Daviess,64640,Lake Viking
Daviess,64640,Gallatin
Carroll,64639,De Witt
Livingston,64638,Dawn
Caldwell,64637,Cowgill
Daviess,64636,Coffey
Livingston,64635,Chula
Carroll,64633,Carrollton
Harrison,64632,Cainsville
Linn,64631,Bucklin
Linn,64630,Browning
Linn,64628,Brookfield
Linn,64628,Saint Catharine
Caldwell,64625,Breckenridge
Caldwell,64624,Braymer
Carroll,64623,Bosworth
Carroll,64622,Bogard
Daviess,64620,Altamont
Livingston,64601,Avalon
Livingston,64601,Chillicothe
Buchanan,64508,Saint Joseph
Buchanan,64507,Saint Joseph
Buchanan,64506,Saint Joseph
Buchanan,64505,Saint Joseph
Buchanan,64504,Saint Joseph
Buchanan,64503,Saint Joseph
Buchanan,64502,Saint Joseph
Buchanan,64501,Saint Joseph
Worth,64499,Worth
Atchison,64498,Westboro
Dekalb,64497,Weatherby
Atchison,64496,Watson
Dekalb,64494,Union Star
Clinton,64493,Turney
Clinton,64492,Trimble
Atchison,64491,Tarkio
Dekalb,64490,Stewartsville
Dekalb,64490,Hemple
Gentry,64489,Stanberry
Nodaway,64487,Skidmore
Worth,64486,Sheridan
Andrew,64485,Savannah
Buchanan,64484,Winthrop
Buchanan,64484,Rushville
Andrew,64483,Rosendale
Atchison,64482,Rock Port
Harrison,64481,Ridgeway
Harrison,64481,Mount Moriah
Andrew,64480,Rea
Nodaway,64479,Ravenwood
Nodaway,64478,Quitman
Clinton,64477,Plattsburg
Nodaway,64476,Pickering
Nodaway,64475,Parnell
Dekalb,64474,Osborn
Holt,64473,Oregon
Harrison,64471,New Hampton
Holt,64470,Mound City
Dekalb,64469,Maysville
Nodaway,64468,Maryville
Harrison,64467,Martinsville
Holt,64466,Maitland
Clinton,64465,Lathrop
Gentry,64463,King City
Nodaway,64461,Hopkins
Andrew,64459,Helena
Harrison,64458,Hatfield
Nodaway,64457,Guilford
Worth,64456,Grant City
Nodaway,64455,Graham
Clinton,64454,Gower
Gentry,64453,Gentry
Holt,64451,Forest City
Andrew,64449,Fillmore
Buchanan,64448,Faucett
Buchanan,64448,Taos
Dekalb,64447,Fairport
Atchison,64446,Langdon
Atchison,64446,Fairfax
Nodaway,64445,Elmo
Platte,64444,Edgerton
Buchanan,64443,Easton
Harrison,64442,Eagleville
Worth,64441,Denver
Buchanan,64440,De Kalb
Platte,64439,Dearborn
Gentry,64438,Darlington
Holt,64437,Craig
Holt,64437,Fortescue
Holt,64437,Bigelow
Holt,64437,Corning
Andrew,64436,Cosby
Nodaway,64434,Conception Junction
Nodaway,64433,Conception
Nodaway,64432,Clyde
Nodaway,64431,Clearmont
Dekalb,64430,Clarksdale
Clinton,64429,Cameron
Nodaway,64428,Burlington Junction
Andrew,64427,Bolckow
Harrison,64426,Blythedale
Harrison,64424,Bethany
Nodaway,64423,Barnard
Dekalb,64422,Amity
Andrew,64421,Amazonia
Worth,64420,Allendale
Gentry,64402,Albany
Gentry,64402,Gentryville
Buchanan,64401,Agency
Jackson,64199,Kansas City
Jackson,64198,Kansas City
Jackson,64197,Kansas City
Jackson,64196,Kansas City
Platte,64195,Kansas City
Jackson,64194,Kansas City
Jackson,64193,Kansas City
Jackson,64192,Kansas City
Jackson,64191,Kansas City
Platte,64190,Kansas City
Jackson,64189,Kansas City
Clay,64188,Kansas City
Jackson,64187,Kansas City
Jackson,64185,Kansas City
Jackson,64184,Kansas City
Jackson,64183,Kansas City
Jackson,64180,Kansas City
Jackson,64179,Kansas City
Jackson,64173,Kansas City
Jackson,64172,Kansas City
Jackson,64171,Kansas City
Jackson,64170,Kansas City
Platte,64168,Kansas City
Platte,64168,Riverside
Clay,64167,Kansas City
Clay,64166,Gladstone
Clay,64166,Kansas City
Clay,64165,Gladstone
Clay,64165,Kansas City
Platte,64164,Kansas City
Platte,64163,Ferrelview
Platte,64163,Kansas City
Clay,64161,Birmingham
Clay,64161,Kansas City
Clay,64161,Randolph
Clay,64160,Kansas City
Clay,64158,Kansas City
Clay,64157,Kansas City
Clay,64156,Gladstone
Clay,64156,Kansas City
Clay,64155,Gladstone
Clay,64155,Kansas City
Platte,64154,Kansas City
Platte,64153,Weatherby Lake
Platte,64153,Kansas City
Platte,64152,Parkville
Platte,64152,Kansas City
Platte,64152,Weatherby Lake
Platte,64151,Parkville
Platte,64151,Kansas City
Platte,64151,Lake Waukomis
Platte,64151,Houston Lake
Platte,64151,Riverside
Platte,64151,Platte Woods
Platte,64150,Kansas City
Platte,64150,Riverside
Jackson,64149,Kansas City
Jackson,64148,Kansas City
Jackson,64147,Martin City
Jackson,64147,Kansas City
Jackson,64146,Kansas City
Jackson,64145,Kansas City
Clay,64144,Kansas City
Jackson,64142,Kansas City
Jackson,64141,Kansas City
Jackson,64139,Kansas City
Jackson,64138,Kansas City
Jackson,64138,Raytown
Jackson,64137,Kansas City
Jackson,64136,Kansas City
Jackson,64134,Kansas City
Jackson,64133,Kansas City
Jackson,64133,Raytown
Jackson,64132,Kansas City
Jackson,64131,Kansas City
Jackson,64130,Kansas City
Jackson,64129,Raytown
Jackson,64129,Kansas City
Jackson,64128,Kansas City
Jackson,64127,Kansas City
Jackson,64126,Kansas City
Jackson,64125,Kansas City
Jackson,64124,Kansas City
Jackson,64123,Kansas City
Jackson,64121,Kansas City
Jackson,64120,Kansas City
Clay,64119,Gladstone
Clay,64119,Kansas City
Clay,64119,Claycomo
Clay,64118,Kansas City
Clay,64118,Oakview
Clay,64118,Village of Oakview
Clay,64118,Gladstone
Clay,64117,Kansas City
Clay,64117,Randolph
Clay,64117,Avondale
Clay,64117,Kansas City North
Clay,64116,Gladstone
Clay,64116,Kansas City
Clay,64116,North Kansas City
Jackson,64114,Kansas City
Jackson,64113,Kansas City
Jackson,64112,Kansas City
Jackson,64111,Kansas City
Jackson,64110,Kansas City
Jackson,64109,Kansas City
Jackson,64108,Kansas City
Jackson,64106,Kansas City
Jackson,64105,Kansas City
Jackson,64102,Kansas City
Jackson,64101,Kansas City
Platte,64098,Weston
Lafayette,64097,Wellington
Lafayette,64096,Waverly
Johnson,64093,Warrensburg
Platte,64092,Waldron
Cass,64090,Strasburg
Clay,64089,Smithville
Clay,64089,Paradise
Jackson,64088,Sibley
Jackson,64088,Fort Osage
Jackson,64086,Lake Lotawana
Jackson,64086,Lees Summit
Ray,64085,Richmond
Ray,64084,Rayville
Cass,64083,Raymore
Jackson,64082,Lees Summit
Jackson,64081,Lees Summit
Cass,64080,Pleasant Hill
Platte,64079,Platte City
Platte,64079,Tracy
Cass,64078,Peculiar
Ray,64077,Orrick
Lafayette,64076,Odessa
Lafayette,64076,Lake Lafayette
